Activity_ID,Verifies,Requirement,Method,Integrity,Phase,Venue,Automated,Human_Loop,Script,Tool,Pass_Criterion,Status
VER-013,SYS-013,The system shall sustain at least 30 minutes of continuous autonomous operation per deployment.,Test,medium,verification,water,none,,,flight 3S LiPo + digital multimeter + stopwatch,>= 30 min continuous; clean low-voltage handling.,open
VER-014,SYS-014,"The system shall navigate to a defined home position (pool centre) using AprilTag bearing and range within the known, measured pool.",Demonstration,high,validation,water,none,,,onboard logs + overhead camera + tape-marked pool centre,Vehicle reaches home (pool centre) within tolerance.,open
VER-015,SYS-015,The system shall not actuate any propulsor during a configurable startup settling period (default 10 s) after power-on.,Test,critical,verification,sil,full,,test_controller.py::test_no_actuation_during_startup_settle,host-side / kinematic sim + onboard joint_cmd log,No propulsor motion until the settle period (default 10 s) elapses.,open
VER-016,SYS-016,"On loss of a sensor input or an internal fault, the system shall transition to a stable hover (HOVERING) rather than continue an uncommanded manoeuvre.",Demonstration,critical,verification,sil,full,,test_controller.py::test_sensor_loss_transitions_to_hovering,host-side / kinematic sim + onboard logs,Vehicle enters stable hover; no uncommanded manoeuvre.,open
VER-017,SYS-017,The system shall clamp every propulsor command to its configured mechanical limits before output.,Test,critical,verification,sil,full,,test_controller.py::test_joint_cmd_clamped_to_limits,host-side + joint_cmd log,No joint_cmd ever exceeds the configured min/max.,open
VER-018,SYS-018,"The system shall reject malformed mission, configuration, or detection messages without crashing and without commanding the propulsors.",Test,high,verification,sil,full,,test_robustness.py::test_malformed_messages_rejected,host-side,"Nodes log an error, keep running, and issue no propulsor command from bad input.",open
VER-019,SYS-019,The system shall ignore target detections older than a configured age and shall not act on stale perception data.,Test,high,verification,sil,full,,test_controller.py::test_stale_detections_ignored,host-side + onboard logs,Controller does not act on stale detections (treats as no-detection).,open
VER-020,SYS-020,The system shall command the propulsors only after receiving the latched robot configuration (correct actuator mapping).,Test,critical,verification,sil,full,,test_controller.py::test_no_actuation_before_config,host-side + joint_cmd log,No propulsor command issued until the latched configuration is received.,open
VER-M01,MEC-001,The vehicle dry mass shall be 1-3 kg (recorded by weigh-in) to meet the buoyancy/ballast budget.,Inspection,medium,verification,hil,none,,,digital scale (g),Dry mass within 1-3 kg; value recorded.,open
VER-M02,MEC-002,"The fins shall be Garolite reinforced with a carbon-fiber rod, with interchangeable surfaces (Icarex+PVA aerial / nylon+steel underwater).",Inspection,medium,verification,hil,none,,,visual + calipers,Materials and reinforcement as specified.,open
VER-M03,MEC-003,The aluminum enclosure shall be sealed watertight with silicone at the lid/seams and cord grips at every cable penetration (strain-relieved).,Inspection,critical,verification,hil,none,,,visual,Continuous silicone seal; all penetrations via sealed cord grips.,open
VER-E01,ELE-001,The vehicle shall be powered by a 3S LiPo (~2200 mAh) supplying separate servo and compute rails.,Inspection,high,verification,hil,none,,,visual + multimeter,Correct pack; two rails present.,open
VER-E02,ELE-002,Battery voltage shall not be driven below the LiPo safe cutoff (~9.0 V / 3.0 V per cell); operation below shall trigger a warning or safe shutdown.,Test,critical,verification,hil,partial,,,digital multimeter + stopwatch,Warning or shutdown before voltage falls below ~9.0 V.,open
VER-E03,ELE-003,Each servo's current limit shall be configured (factory default) and the peak per-servo current recorded and within safe thermal range.,Test,high,verification,hil,partial,,,digital multimeter (in series) or servo current telemetry,Peak per-servo current recorded; limit holds on stall; no overheating.,open
VER-E04,ELE-004,"All wiring shall show end-to-end continuity < 1 ohm, no unintended shorts, and intact insulation with no exposed conductors reachable when wet.",Test,critical,verification,hil,none,,,digital multimeter,Continuity < 1 ohm; no shorts; no exposed conductors.,open
VER-E05,ELE-005,All four servos shall enumerate and respond on the RS-485 bus (Dynamixel Protocol 2.0).,Test,high,verification,hil,full,,test_servo_bus.py::test_all_four_ids_enumerate,software (Dynamixel ping) + onboard log,4/4 servos enumerate on RS-485.,open
VER-U01,SYS-002,The system shall reduce range to the commanded tag at a measurable nonzero rate under nominal conditions.,Test,high,verification,mil,full,,"test_motion_command.py::test_triangle_symmetry_and_bounds, ::test_sweep_profile",pytest (host-side),Waveforms stay within [center +/- amplitude]; symmetric; sweep matches the specified profile.,open
VER-U02,SYS-001,The system shall autonomously detect a commanded AprilTag and head toward it without operator piloting.,Test,high,verification,mil,full,,test_controller.py::test_state_transitions,pytest (host-side),Every transition fires only under its documented condition; no illegal transitions.,open
VER-U03,SYS-017,The system shall clamp every propulsor command to its configured mechanical limits before output.,Test,critical,verification,mil,full,,test_controller.py::test_clamp_unit,pytest (host-side),"Output is clamped to [min,max] for every input; never exceeds limits.",open
VER-U04,SYS-019,The system shall ignore target detections older than a configured age and shall not act on stale perception data.,Test,high,verification,mil,full,,test_controller.py::test_stale_window_unit,pytest (host-side),Detections older than the window are treated as no-detection.,open
VER-U05,SYS-020,The system shall command the propulsors only after receiving the latched robot configuration (correct actuator mapping).,Test,critical,verification,mil,full,,test_controller.py::test_config_gate_unit,pytest (host-side),No command produced pre-config; commands produced post-config.,open
VER-U06,SYS-011,"The system shall accept a FIFO queue of tag missions and support priority missions that preempt or reorder the running mission, with a configurable wait timeout before preemption.",Test,medium,verification,mil,full,,"test_crab.py::test_queue_order, ::test_retry_count, ::test_priority_preempt, ::test_human_timeout",pytest (host-side),Queue order preserved; retries capped; priority preempts; timeout advances.,open
VER-U07,SYS-007,The system shall reliably detect a 200 mm tag36h11 AprilTag at ranges >= 1.5 m under nominal lighting.,Test,high,verification,mil,full,,test_apriltag.py::test_range_bearing_from_pose,pytest (host-side),Computed range/bearing match the analytic values within tolerance.,open
VER-U08,SYS-018,"The system shall reject malformed mission, configuration, or detection messages without crashing and without commanding the propulsors.",Test,high,verification,mil,full,,test_robustness.py::test_parser_rejects_bad_input,pytest (host-side),Parsers raise/return cleanly; never yield an actuation command.,open
VER-U09,SYS-008,The system shall declare a homing mission ACHIEVED when range to the commanded tag is <= 0.30 m and bearing is aligned.,Test,medium,verification,mil,full,,test_controller.py::test_achieved_declaration,pytest (host-side),ACHIEVED only when range <= 0.30 m and bearing aligned.,open
VER-U10,SYS-015,The system shall not actuate any propulsor during a configurable startup settling period (default 10 s) after power-on.,Test,critical,verification,mil,full,,test_controller.py::test_startup_settle_unit,pytest (host-side),Command path suppressed during settle; active after.,open
